ID bID Day Srt Len Week
1  7   2   30  150 15/02/2021
2  1   0   0   30  22/02/2021
3  4   0   180 30  22/02/2021
4  5   0   210 60  22/02/2021
5  8   0   330 45  22/02/2021
6  3   0   385 15  22/02/2021
7  10  1   45  15  22/02/2021
8  7   1   60  180 22/02/2021
9  7   1   300 150 22/02/2021
11 1   0   0   30  22/03/2021
12 6   0   30  90  22/03/2021
13 2   0   120 45  22/03/2021
14 4   0   180 30  22/03/2021
15 5   0   210 60  22/03/2021
16 8   0   330 45  22/03/2021
17 3   0   385 15  22/03/2021
18 9   0   405 195 22/03/2021
19 3   1   0   15  22/03/2021
20 9   1   20  240 22/03/2021
21 10  1   320 15  22/03/2021
22 7   1   335 265 22/03/2021
